,web_name,team,element_type,selected_by_percent,now_cost,minutes,transfers_in,value_season,total_points,ict_index_rank,chance_of_playing_next_round,position,club,elite_selected,change,ovr_selected
515,Carter-Vickers,17,2,0.3,39,0,13953,0.0,0,421,0.0,Defender,Spurs,,,
516,Reguilón,17,2,4.5,56,450,422292,3.9,22,108,100.0,Defender,Spurs,0.023,-0.006999999999999999,0.043
517,Bale,17,3,0.9,95,115,152879,1.4,13,235,100.0,Midfielder,Spurs,0.001,0.0,0.01
518,Carlos Vinicius,17,4,0.0,70,12,3961,0.1,1,359,,Forward,Spurs,,,
519,Rodon,17,2,0.0,50,10,778,0.4,2,577,,Defender,Spurs,,,
520,Button,18,1,4.7,40,0,121730,0.0,0,433,,Goalkeeper,West Brom,0.129,0.0,0.047
521,Callum Robinson,18,4,0.6,55,445,117403,4.7,26,107,100.0,Forward,West Brom,,,
522,Gibbs,18,2,0.2,43,135,5094,-0.7,-3,372,25.0,Defender,West Brom,,,
523,Robson-Kanu,18,4,0.1,52,112,6829,0.8,4,358,100.0,Forward,West Brom,,,
524,Livermore,18,3,0.1,48,656,4225,2.5,12,242,25.0,Midfielder,West Brom,,,
525,Grosicki,18,3,0.0,53,0,479,0.0,0,584,100.0,Midfielder,West Brom,,,
526,Phillips,18,3,0.0,51,69,1836,1.0,5,333,100.0,Midfielder,West Brom,0.004,0.004,0.006999999999999999
527,Bartley,18,2,0.2,44,540,11188,2.7,12,182,,Defender,West Brom,0.001,0.0,0.002
528,Sawyers,18,3,0.0,48,430,995,2.3,11,282,,Midfielder,West Brom,,,
529,Hegazi,18,2,0.2,42,90,12203,1.4,6,379,0.0,Defender,West Brom,,,
530,Austin,18,4,0.2,51,0,10575,0.0,0,578,,Forward,West Brom,,,
531,Zohore,18,4,0.0,48,0,2127,0.0,0,549,0.0,Forward,West Brom,,,
532,Johnstone,18,1,1.0,45,810,62923,6.7,30,114,,Goalkeeper,West Brom,0.015,0.001,0.01
533,Townsend,18,2,0.1,45,630,7896,4.0,18,128,100.0,Defender,West Brom,,,
534,Ajayi,18,2,0.2,48,720,4618,1.9,9,240,,Defender,West Brom,,,
535,Leko,18,3,0.0,45,0,1096,0.0,0,518,0.0,Midfielder,West Brom,,,
536,Edwards,18,3,0.0,48,114,573,1.0,5,320,,Midfielder,West Brom,,,
537,Furlong,18,2,0.1,45,698,8667,4.2,19,78,,Defender,West Brom,,,
538,Field,18,3,0.0,48,61,588,0.6,3,382,0.0,Midfielder,West Brom,,,
539,O'Shea,18,2,0.2,43,450,4263,1.2,5,239,,Defender,West Brom,,,
540,Harper,18,3,0.5,44,21,30116,0.2,1,410,,Midfielder,West Brom,,,
541,Diangana,18,3,0.4,54,649,41627,4.3,23,91,,Midfielder,West Brom,,,
542,Pereira,18,3,1.4,58,662,206427,4.7,27,56,100.0,Midfielder,West Brom,0.002,-0.004,0.013999999999999999
543,Kipre,18,2,0.0,44,0,554,0.0,0,494,,Defender,West Brom,,,
544,Ivanovic,18,2,0.1,45,348,13509,2.4,11,233,100.0,Defender,West Brom,0.002,0.0,0.001
545,Gallagher,18,3,0.0,55,450,1450,1.6,9,158,100.0,Midfielder,West Brom,,,
546,Krovinovic,18,3,0.0,50,364,950,2.2,11,196,,Midfielder,West Brom,,,
547,Grant,18,4,0.0,59,389,5887,2.9,17,194,,Forward,West Brom,,,
548,Peltier,18,2,0.0,40,0,1630,0.0,0,428,,Defender,West Brom,,,
549,Noble,19,3,0.5,47,71,6526,1.1,5,381,100.0,Midfielder,West Ham,,,
550,Snodgrass,19,3,0.1,57,1,1047,0.2,1,592,100.0,Midfielder,West Ham,,,
551,Martin,19,1,7.4,40,0,147542,0.0,0,427,,Goalkeeper,West Ham,0.009000000000000001,0.002,0.07400000000000001
552,Randolph,19,1,0.2,44,0,1686,0.0,0,473,,Goalkeeper,West Ham,,,
553,Fabianski,19,1,3.0,50,810,144449,10.0,50,166,,Goalkeeper,West Ham,0.01,0.006999999999999999,0.03
554,Ogbonna,19,2,0.4,49,782,15131,5.7,28,168,100.0,Defender,West Ham,,,
555,Roberto,19,1,0.0,45,0,299,0.0,0,509,0.0,Goalkeeper,West Ham,,,
556,Wilshere,19,3,0.1,49,0,1036,0.0,0,563,0.0,Midfielder,West Ham,,,
557,Cresswell,19,2,9.3,51,810,727235,8.8,45,32,100.0,Defender,West Ham,0.062,0.016,0.09300000000000001
558,Yarmolenko,19,3,0.1,56,97,3203,0.7,4,342,75.0,Midfielder,West Ham,,,
559,Antonio,19,4,2.1,62,481,130811,4.4,27,34,50.0,Forward,West Ham,0.005,-0.001,0.021
560,Fredericks,19,2,0.3,43,228,9995,0.9,4,186,100.0,Defender,West Ham,0.001,0.0,0.003
561,Lanzini,19,3,0.1,64,47,7420,1.2,8,316,100.0,Midfielder,West Ham,,,
562,Felipe Anderson,19,3,0.1,61,2,4618,0.3,2,409,0.0,Midfielder,West Ham,,,
563,Haller,19,4,0.3,61,303,17932,3.6,22,92,100.0,Forward,West Ham,,,
564,Masuaku,19,2,1.9,45,715,165403,7.8,35,77,100.0,Defender,West Ham,0.028999999999999998,0.006999999999999999,0.019
565,Balbuena,19,2,1.5,44,630,126059,7.5,33,179,,Defender,West Ham,0.013000000000000001,0.005,0.015
566,Hugill,19,4,0.0,55,0,332,0.0,0,590,0.0,Forward,West Ham,,,
567,Bowen,19,3,2.2,63,751,219836,6.2,39,33,,Midfielder,West Ham,0.042,-0.011000000000000001,0.022000000000000002
568,Ajeti,19,4,0.0,55,0,519,0.0,0,591,0.0,Forward,West Ham,,,
569,Rice,19,3,2.6,48,810,74216,4.4,21,96,,Midfielder,West Ham,,,
570,Soucek,19,3,3.0,49,810,159951,6.1,30,52,,Midfielder,West Ham,0.191,0.003,0.03
571,Fornals,19,3,1.9,64,735,177118,7.5,48,54,,Midfielder,West Ham,0.004,-0.002,0.019
572,Diop,19,2,0.6,44,207,9650,0.5,2,347,100.0,Defender,West Ham,,,
573,Johnson,19,2,2.0,39,41,66446,0.3,1,406,,Defender,West Ham,0.002,-0.001,0.02
574,Coufal,19,2,2.1,46,540,170704,6.7,31,102,,Defender,West Ham,0.24,0.092,0.021
575,Dawson,19,2,0.0,45,0,1007,0.0,0,512,,Defender,West Ham,,,
576,Benrahma,19,3,0.2,60,19,23573,0.8,5,298,,Midfielder,West Ham,,,
577,Ruddy,20,1,0.3,44,0,2864,0.0,0,471,,Goalkeeper,Wolves,,,
578,Moutinho,20,3,1.3,52,356,33947,2.3,12,201,,Midfielder,Wolves,,,
579,Patrício,20,1,7.5,55,720,301332,7.3,40,198,,Goalkeeper,Wolves,0.001,0.0,0.076
580,Bennett,20,2,0.2,44,0,3791,0.0,0,475,0.0,Defender,Wolves,,,
581,Boly,20,2,2.8,55,720,123249,5.6,31,183,,Defender,Wolves,0.003,-0.001,0.027999999999999997
582,Coady,20,2,7.9,50,720,304802,6.0,30,228,75.0,Defender,Wolves,0.015,-0.002,0.079
583,Jiménez,20,4,15.2,84,720,1148000,4.4,37,43,,Forward,Wolves,0.17300000000000001,-0.051,0.155
584,Saïss,20,2,16.5,52,517,1697736,7.3,38,156,,Defender,Wolves,0.11199999999999999,-0.07200000000000001,0.166
585,Jonny,20,2,0.0,54,0,494,0.0,0,587,0.0,Defender,Wolves,,,
586,Bonatini,20,4,0.1,48,0,8303,0.0,0,552,0.0,Forward,Wolves,,,
587,Dendoncker,20,3,1.0,48,552,42094,4.0,19,133,100.0,Midfielder,Wolves,,,
588,Traoré,20,3,6.9,62,340,248217,1.9,12,180,,Midfielder,Wolves,,,
589,Neves,20,3,1.4,53,554,36126,2.8,15,73,,Midfielder,Wolves,,,
590,Buur,20,2,2.3,39,22,165205,0.3,1,417,,Defender,Wolves,,,
591,Podence,20,3,3.4,55,500,639040,5.3,29,72,100.0,Midfielder,Wolves,0.129,-0.11599999999999999,0.034
592,Kilman,20,2,15.1,43,450,1107738,7.0,30,238,,Defender,Wolves,0.237,0.055,0.151
593,Vinagre,20,2,1.2,42,172,56514,0.2,1,328,0.0,Defender,Wolves,0.004,-0.003,0.012
594,Sarkic,20,1,0.1,45,0,707,0.0,0,523,0.0,Goalkeeper,Wolves,,,
595,Gibbs-White,20,3,0.0,49,0,242,0.0,0,570,0.0,Midfielder,Wolves,,,
596,Neto,20,3,1.9,55,646,201389,5.8,32,26,,Midfielder,Wolves,0.003,0.0,0.018000000000000002
597,Jordao,20,3,0.3,44,0,11927,0.0,0,503,0.0,Midfielder,Wolves,,,
598,Campana,20,4,0.3,48,0,15190,0.0,0,560,,Forward,Wolves,,,
599,Fabio Silva,20,4,0.5,52,52,27082,0.8,4,321,,Forward,Wolves,,,
600,Marçal,20,2,0.1,48,134,22789,1.9,9,336,100.0,Defender,Wolves,0.001,0.0,0.001
601,Vitinha,20,3,0.0,48,21,977,0.4,2,375,,Midfielder,Wolves,,,
602,Hoever,20,2,0.0,45,29,2742,0.4,2,361,,Defender,Wolves,,,
603,Semedo,20,2,3.7,56,509,322504,4.5,25,147,,Defender,Wolves,0.039,-0.004,0.037000000000000005
604,Shabani,20,3,0.0,45,0,2573,0.0,0,528,,Midfielder,Wolves,,,
605,Ait Nouri,20,2,0.3,50,165,26934,3.4,17,293,75.0,Defender,Wolves,,,
606,Otasowie,20,3,0.0,45,0,802,0.0,0,532,,Midfielder,Wolves,,,
