,first_name,second_name,id,full_names,selected,cost
214,Michy,Batshuayi,592,Michy_Batshuayi_592,0,0
215,Sam,Woods,609,Sam_Woods_609,0,0
216,Luke,Dreher,618,Luke_Dreher_618,0,0
217,Nikola,Tavares,619,Nikola_Tavares_619,0,0
218,Jordan,Pickford,154,Jordan_Pickford_154,985344,50
219,Maarten,Stekelenburg,155,Maarten_Stekelenburg_155,219323,40
220,Leighton,Baines,156,Leighton_Baines_156,84579,55
221,Seamus,Coleman,157,Seamus_Coleman_157,148392,55
222,Phil,Jagielka,158,Phil_Jagielka_158,100143,45
223,Ashley,Williams,159,Ashley_Williams_159,7642,45
224,Mason,Holgate,160,Mason_Holgate_160,3574,45
225,Jonjoe,Kenny,161,Jonjoe_Kenny_161,11386,45
226,Michael,Keane,162,Michael_Keane_162,117954,50
227,Cuco,Martina,163,Cuco_Martina_163,9177,45
228,Theo,Walcott,164,Theo_Walcott_164,93127,65
229,Yannick,Bolasie,165,Yannick_Bolasie_165,16150,60
230,James,McCarthy,166,James_McCarthy_166,1234,45
231,Morgan,Schneiderlin,167,Morgan_Schneiderlin_167,115922,45
232,Idrissa,Gueye,168,Idrissa_Gueye_168,28400,50
233,Tom,Davies,169,Tom_Davies_169,11634,55
234,Ademola,Lookman,170,Ademola_Lookman_170,12390,55
235,Davy,Klaassen,171,Davy_Klaassen_171,802,60
236,Gylfi,Sigurdsson,172,Gylfi_Sigurdsson_172,106177,75
237,Nikola,Vlasic,173,Nikola_Vlasic_173,1737,50
238,Beni,Baningime,174,Beni_Baningime_174,2914,45
239,Dominic,Calvert-Lewin,175,Dominic_Calvert-Lewin_175,68885,55
240,Cenk,Tosun,177,Cenk_Tosun_177,302582,70
241,Richarlison,de Andrade,393,Richarlison_de Andrade_393,872082,65
242,Kevin,Mirallas,469,Kevin_Mirallas_469,1626,55
243,Sandro,Ramírez,470,Sandro_Ramírez_470,11104,55
244,Lucas,Digne,484,Lucas_Digne_484,141155,50
245,Yerry,Mina,506,Yerry_Mina_506,102500,55
246,Bernard,Anício Caldeira Duarte,507,Bernard_Anício Caldeira Duarte_507,20094,60
247,André Filipe,Tavares Gomes,508,André Filipe_Tavares Gomes_508,17237,55
248,Kurt,Zouma,526,Kurt_Zouma_526,0,0
249,Kieran,Dowell,528,Kieran_Dowell_528,0,0
250,Tyias,Browning,532,Tyias_Browning_532,0,0
251,Calum,Chambers,9,Calum_Chambers_9,91508,45
252,Marcus,Bettinelli,178,Marcus_Bettinelli_178,14241,45
253,Tim,Ream,180,Tim_Ream_180,22808,45
254,Denis,Odoi,181,Denis_Odoi_181,12353,45
255,Tom,Cairney,182,Tom_Cairney_182,153810,50
256,Kevin,McDonald,183,Kevin_McDonald_183,20352,45
257,Ryan,Sessegnon,184,Ryan_Sessegnon_184,472564,65
258,Stefan,Johansen,185,Stefan_Johansen_185,8305,55
259,Floyd,Ayité,186,Floyd_Ayité_186,8882,45
260,Neeskens,Kebano,187,Neeskens_Kebano_187,5634,45
261,Rui Pedro,da Rocha Fonte,188,Rui Pedro_da Rocha Fonte_188,21217,45
262,Aboubakar,Kamara,189,Aboubakar_Kamara_189,499362,45
263,Maxime,Le Marchand,455,Maxime_Le Marchand_455,16146,45
264,Jean Michael,Seri,456,Jean Michael_Seri_456,95248,55
265,Cyrus,Christie,460,Cyrus_Christie_460,14289,45
266,Fabricio,Agosto Ramírez,474,Fabricio_Agosto Ramírez_474,13175,45
267,André,Schürrle,478,André_Schürrle_478,316359,60
268,Aleksandar,Mitrovic,480,Aleksandar_Mitrovic_480,294873,65
269,Alfie,Mawson,487,Alfie_Mawson_487,15496,50
270,Sergio,Rico,509,Sergio_Rico_509,11256,45
271,Joe,Bryan,510,Joe_Bryan_510,8061,50
272,Timothy,Fosu-Mensah,511,Timothy_Fosu-Mensah_511,37692,45
273,André-Frank,Zambo Anguissa,512,André-Frank_Zambo Anguissa_512,6826,45
274,Luciano,Vietto,513,Luciano_Vietto_513,21756,55
275,Ibrahima,Cissé,521,Ibrahima_Cissé_521,0,45
276,Zeze Steven,Sessegnon,541,Zeze Steven_Sessegnon_541,0,0
277,Ryan,Babel,575,Ryan_Babel_575,0,0
278,Håvard,Nordtveit,593,Håvard_Nordtveit_593,0,0
279,Lazar,Markovic,594,Lazar_Markovic_594,0,0
280,Harvey,Elliott,610,Harvey_Elliott_610,0,0
281,Luca,De La Torre,621,Luca_De La Torre_621,0,0
282,Jason,Puncheon,146,Jason_Puncheon_146,40154,45
283,Ben,Hamer,190,Ben_Hamer_190,124117,40
284,Jonas,Lössl,191,Jonas_Lössl_191,100431,45
285,Christopher,Schindler,192,Christopher_Schindler_192,164951,45
286,Chris,Löwe,193,Chris_Löwe_193,8906,45
287,Tommy,Smith,194,Tommy_Smith_194,5090,45
288,Mathias,Jorgensen,195,Mathias_Jorgensen_195,479775,45
289,Scott,Malone,196,Scott_Malone_196,249139,40
290,Florent,Hadergjonaj,197,Florent_Hadergjonaj_197,4294,45
291,Terence,Kongolo,198,Terence_Kongolo_198,12335,45
292,Aaron,Mooy,199,Aaron_Mooy_199,192110,55
293,Rajiv,van La Parra,200,Rajiv_van La Parra_200,3926,50
294,Jonathan,Hogg,201,Jonathan_Hogg_201,14503,45
295,Philip,Billing,202,Philip_Billing_202,5761,45
296,Tom,Ince,203,Tom_Ince_203,1025,50
297,Danny,Williams,204,Danny_Williams_204,562,45
298,Abdelhamid,Sabiri,205,Abdelhamid_Sabiri_205,3471,45
299,Alex,Pritchard,206,Alex_Pritchard_206,3968,50
300,Ramadan,Sobhi,207,Ramadan_Sobhi_207,15146,50
301,Juninho,Bacuna,208,Juninho_Bacuna_208,7863,45
302,Collin,Quaner,209,Collin_Quaner_209,281907,45
303,Laurent,Depoitre,210,Laurent_Depoitre_210,67727,55
304,Steve,Mounie,211,Steve_Mounie_211,11803,60
305,Elias,Kachunga,212,Elias_Kachunga_212,5521,50
306,Erik,Durm,461,Erik_Durm_461,13149,45
307,Adama,Diakhaby,471,Adama_Diakhaby_471,2723,50
308,Isaac,Mbenza,514,Isaac_Mbenza_514,904,60
309,Jon Gorenc,Stankovic,522,Jon Gorenc_Stankovic_522,0,40
310,Ryan,Schofield,533,Ryan_Schofield_533,0,0
311,Karlan,Grant,585,Karlan_Grant_585,0,0
312,Joel,Coleman,598,Joel_Coleman_598,0,0
313,Demeaco,Duhaney,601,Demeaco_Duhaney_601,0,0
314,Matthew,Daly,606,Matthew_Daly_606,0,0
315,Aaron,Rowe,607,Aaron_Rowe_607,0,0
316,Kasper,Schmeichel,213,Kasper_Schmeichel_213,230133,50
317,Eldin,Jakupovic,214,Eldin_Jakupovic_214,6756,45
318,Wes,Morgan,215,Wes_Morgan_215,62679,45
319,Christian,Fuchs,216,Christian_Fuchs_216,46271,45
320,Danny,Simpson,217,Danny_Simpson_217,20221,45
321,Yohan,Benalouane,218,Yohan_Benalouane_218,53420,40
322,Benjamin,Chilwell,219,Benjamin_Chilwell_219,16126,50
323,Harry,Maguire,220,Harry_Maguire_220,759622,55
324,Ricardo Domingos,Barbosa Pereira,221,Ricardo Domingos_Barbosa Pereira_221,58068,50
325,Jonny,Evans,222,Jonny_Evans_222,17835,50
326,Marc,Albrighton,224,Marc_Albrighton_224,58166,55
327,Demarai,Gray,225,Demarai_Gray_225,44794,55
328,Daniel,Amartey,226,Daniel_Amartey_226,11148,45
329,Wilfred,Ndidi,227,Wilfred_Ndidi_227,33600,50
330,Vicente,Iborra,228,Vicente_Iborra_228,3960,50
331,Matty,James,229,Matty_James_229,1207,45
332,Hamza,Choudhury,230,Hamza_Choudhury_230,5517,45
333,Adrien Sebastian,Perruchet Silva,231,Adrien Sebastian_Perruchet Silva_231,10282,50
334,Fousseni,Diabaté,232,Fousseni_Diabaté_232,3158,50
335,James,Maddison,233,James_Maddison_233,32765,65
336,Jamie,Vardy,234,Jamie_Vardy_234,242752,90
337,Shinji,Okazaki,235,Shinji_Okazaki_235,77976,55
338,Kelechi,Iheanacho,236,Kelechi_Iheanacho_236,47721,60
339,Danny,Ward,457,Danny_Ward_457,11225,45
340,Rachid,Ghezzal,492,Rachid_Ghezzal_492,9921,55
341,Filip,Benkovic,501,Filip_Benkovic_501,2899,50
342,Çaglar,Söyüncü,515,Çaglar_Söyüncü_515,3574,50
343,Nampalys,Mendy,527,Nampalys_Mendy_527,0,0
344,Josh,Knight,558,Josh_Knight_558,0,0
345,Harvey,Barnes,571,Harvey_Barnes_571,0,0
346,Youri,Tielemans,591,Youri_Tielemans_591,0,0
347,Simon,Mignolet,237,Simon_Mignolet_237,7587,50
