,full_name,selected
196,Jason_Puncheon,40154.0
197,Jay_Fulton,0.0
198,Jay_Rodriguez,0.0
199,Jefferson_Montero,0.0
200,Jeffrey_Schlupp,29820.0
201,Jermain_Defoe,42370.0
202,Jerome_Sinclair,9283.0
203,Jesse_Lingard,283400.0
204,Jesús_Navas,0.0
205,Joël_Matip,3630.0
206,Joel_Robles,0.0
207,Joel_Ward,20760.0
208,Joe_Allen,0.0
209,Joe_Hart,195781.0
210,Joe_Ledley,0.0
211,Johann_Gudmundsson,98144.0
212,John_O'Shea,0.0
213,John_Stones,415001.0
214,John_Terry,0.0
215,Jonas_Olsson,0.0
216,Jonathan_Leko,0.0
217,Jonathan_Walters,3473.0
218,Jonny_Evans,17835.0
219,Jon_Flanagan,0.0
220,Jordan_Henderson,61150.0
221,Jordan_Pickford,985344.0
222,Jordan_Rhodes,0.0
223,Jordi_Amat,0.0
224,Jordon_Ibe,28714.0
225,Jordon_Mutch,0.0
226,Jordy_Clasie,0.0
227,Joselu,89238.0
228,Joe_Gomez,13273.0
229,Jose_Fonte,0.0
230,Joshua_King,380719.0
231,Joshua_Onomah,0.0
232,Josh_Cullen,0.0
233,Josh_Tymon,0.0
234,José_Holebas,24697.0
235,Juan_Mata,97791.0
236,Juan_Zuñiga,0.0
237,Julian_Speroni,727239.0
238,Junior_Stanislas,2359.0
239,Jérémy_Pied,0.0
240,Kasper_Schmeichel,230133.0
241,Kelechi_Iheanacho,47721.0
242,Kevin_De Bruyne,1288634.0
243,Kevin_Mirallas,1626.0
244,Kevin_Stewart,0.0
245,Kevin_Wimmer,0.0
246,Kieran_Gibbs,0.0
247,Kieran_Trippier,1217102.0
248,Kristoffer_Nordfeldt,0.0
249,Kurt_Zouma,0.0
250,Kyle_Naughton,0.0
251,Kyle_Walker,545462.0
252,Lamine_Koné,0.0
253,Laurent_Koscielny,6155.0
254,Lazar_Markovic,0.0
255,Lee_Cattermole,0.0
256,Leighton_Baines,84579.0
257,Leiva_Lucas,0.0
258,Leonardo_Ulloa,0.0
