,full_name,squad,selected,position,team_code
112,Leander_Dendoncker,Wolves,23562.0,3.0,19
113,Laurent_Depoitre,Huddersfield,67727.0,4.0,15
114,Gerard_Deulofeu,Watford,19281.0,3.0,20
115,Fousseni_Diabaté,Leicester City,3158.0,4.0,3
116,Adama_Diakhaby,Huddersfield,2723.0,3.0,15
117,Mohamed_Diamé,Newcastle Utd,5156.0,3.0,6
118,Grady_Diangana,West Ham,0.0,3.0,8
119,Eric_Dier,Tottenham,109552.0,3.0,4
120,Lucas_Digne,Everton,141155.0,2.0,17
121,Virgil_van Dijk,Liverpool,811455.0,2.0,5
122,Issa_Diop,West Ham,46623.0,2.0,8
123,Matt_Doherty,Wolves,59443.0,2.0,19
124,Abdoulaye_Doucouré,Watford,108189.0,3.0,20
125,Luke_Dreher,Crystal Palace,0.0,3.0,13
126,Martin_Dubravka,Newcastle Utd,18497.0,1.0,6
127,Shane_Duffy,Brighton,153522.0,2.0,9
128,Demeaco_Duhaney,Huddersfield,0.0,2.0,15
129,Paul_Dummett,Newcastle Utd,9349.0,2.0,6
130,Lewis_Dunk,Brighton,152747.0,2.0,9
131,Erik_Durm,Huddersfield,13149.0,2.0,15
132,Bruno_Ecuele Manga,Cardiff City,5192.0,2.0,11
133,Ederson,Manchester City,796937.0,1.0,1
134,Harvey_Elliott,Fulham,0.0,3.0,14
135,Mohamed_Elneny,Arsenal,120790.0,3.0,12
136,Mohamed_Elyounoussi,Southampton,23886.0,3.0,10
137,Christian_Eriksen,Tottenham,840208.0,3.0,4
138,Neil_Etheridge,Cardiff City,12072.0,1.0,11
139,Jonny_Evans,Leicester City,17835.0,2.0,3
140,Lukasz_Fabianski,West Ham,911117.0,1.0,8
141,Fabinho,Liverpool,51015.0,3.0,5
142,Cesc_Fàbregas,Chelsea,67338.0,3.0,7
143,Fabricio,Fulham,,,14
144,Marouane_Fellaini,Manchester Utd,28693.0,3.0,16
145,Kiko_Femenía,Watford,25857.0,2.0,20
146,Federico_Fernández,Newcastle Utd,10427.0,2.0,6
147,Fernandinho,Manchester City,328372.0,3.0,1
148,Roberto_Firmino,Liverpool,1687015.0,3.0,5
149,Phil_Foden,Manchester City,14777.0,3.0,1
150,Fraser_Forster,Southampton,65137.0,1.0,10
151,Ben_Foster,Watford,232427.0,1.0,20
152,Timothy_Fosu-Mensah,Fulham,37692.0,2.0,14
153,Juan_Foyth,Tottenham,0.0,2.0,4
154,Simon_Francis,Bournemouth,22164.0,2.0,2
155,Ryan_Fraser,Bournemouth,57385.0,3.0,2
156,Fred,Manchester Utd,232569.0,3.0,16
157,Ryan_Fredericks,West Ham,32501.0,2.0,8
158,Christian_Fuchs,Leicester City,46271.0,2.0,3
159,Manolo_Gabbiadini,Southampton,18085.0,4.0,10
160,Sam_Gallagher,Southampton,0.0,4.0,10
161,Idrissa_Gueye,Everton,28400.0,3.0,17
162,James_Garner,Manchester Utd,0.0,3.0,16
163,Paulo_Gazzaniga,Tottenham,0.0,1.0,4
164,David_de Gea,Manchester Utd,0.0,1.0,16
165,Rachid_Ghezzal,Leicester City,9921.0,3.0,3
166,Morgan_Gibbs-White,Wolves,20765.0,3.0,19
167,Ben_Gibson,Burnley,17262.0,2.0,18
168,Olivier_Giroud,Chelsea,188771.0,4.0,7
169,André_Gomes,Everton,17237.0,3.0,17
170,Angel_Gomes,Manchester Utd,0.0,3.0,16
171,Joe_Gomez,Liverpool,13273.0,2.0,5
172,Jon_Gorenc Stankovic,Huddersfield,0.0,,15
173,Dan_Gosling,Bournemouth,5035.0,3.0,2
174,Karlan_Grant,Huddersfield,0.0,4.0,15
175,Andre_Gray,Watford,30395.0,4.0,20
176,Demarai_Gray,Leicester City,44794.0,3.0,3
177,Mason_Greenwood,Manchester Utd,0.0,4.0,16
178,Pascal_Groß,Brighton,364302.0,3.0,9
179,Vicente_Guaita,Crystal Palace,12383.0,1.0,13
180,Matteo_Guendouzi,Arsenal,53733.0,3.0,12
181,Ilkay_Gundogan,Manchester City,,3.0,1
182,Angus_Gunn,Southampton,12989.0,1.0,10
183,Aron_Gunnarsson,Cardiff City,66660.0,3.0,11
184,Florent_Hadergjonaj,Huddersfield,4294.0,2.0,15
185,Ben_Hamer,Huddersfield,124117.0,1.0,15
186,Kadeem_Harris,Cardiff City,0.0,3.0,11
187,Joe_Hart,Burnley,195781.0,1.0,18
