,id,full_names,element_type,team,selected,cost
440,318,Jonjo_Shelvey_318,3,15,51885,55
441,319,Mohamed_Diamé_319,3,15,5156,50
442,320,Christian_Atsu_320,3,15,9385,55
443,321,Jacob_Murphy_321,3,15,2929,50
444,322,Mikel_Merino_322,3,15,97,50
445,323,Isaac_Hayden_323,3,15,11288,45
446,324,Sung-yueng_Ki_324,3,15,12763,50
447,325,Dwight_Gayle_325,4,15,10803,60
448,326,Ayoze_Pérez_326,4,15,146474,65
449,327,Jose Luis_Mato Sanmartín_327,4,15,89238,50
450,458,Robert Kenedy_Nunes do Nascimento_458,3,15,115700,50
451,482,Fabian_Schär_482,2,15,17090,50
452,488,Yoshinori_Muto_488,4,15,7032,60
453,493,Salomón_Rondón_493,4,15,73303,60
454,516,Federico_Fernández_516,2,15,10427,45
455,530,Jamie_Sterry_530,2,15,0,0
456,531,Sean_Longstaff_531,3,15,0,0
457,553,Frederick_Woodman_553,1,15,0,0
458,577,Callum_Roberts_577,3,15,0,0
459,587,Miguel_Almirón_587,3,15,0,0
460,588,Antonio_Barreca_588,2,15,0,0
461,622,Kelland_Watts_622,3,15,0,0
462,623,Lewis_Cass_623,2,15,0,0
463,258,Danny_Ings_258,4,16,82610,55
464,328,Alex_McCarthy_328,1,16,31997,45
465,329,Fraser_Forster_329,1,16,65137,45
466,330,Ryan_Bertrand_330,2,16,349632,50
467,331,Maya_Yoshida_331,2,16,77036,45
468,332,Cédric_Soares_332,2,16,398975,45
469,333,Jack_Stephens_333,2,16,10138,45
470,334,Sam_McQueen_334,2,16,64439,40
471,335,Jan_Bednarek_335,2,16,264706,40
472,336,Wesley_Hoedt_336,2,16,19002,45
473,337,Steven_Davis_337,3,16,7799,50
474,338,James_Ward-Prowse_338,3,16,27127,55
475,339,Oriol_Romeu Vidal_339,3,16,140250,45
476,340,Pierre-Emile_Højbjerg_340,3,16,23517,45
477,341,Sofiane_Boufal_341,3,16,462,55
478,342,Joshua_Sims_342,3,16,4891,45
479,343,Nathan_Redmond_343,3,16,24948,55
480,344,Mario_Lemina_344,3,16,9971,50
481,345,Stuart_Armstrong_345,3,16,13490,55
482,346,Mohamed_Elyounoussi_346,3,16,23886,65
483,347,Shane_Long_347,4,16,90569,50
484,348,Charlie_Austin_348,4,16,85810,60
485,349,Manolo_Gabbiadini_349,4,16,18085,60
486,350,Guido_Carrillo_350,4,16,196,55
487,452,Angus_Gunn_452,1,16,12989,45
488,463,Jannik_Vestergaard_463,2,16,29273,50
489,479,Matt_Targett_479,2,16,6036,45
490,550,Michael_Obafemi_550,4,16,0,0
491,556,Yan_Valery_556,2,16,0,0
492,562,Tyreke_Johnson_562,3,16,0,0
493,565,Kayne_Ramsay_565,2,16,0,0
494,570,Callum_Slattery_570,3,16,0,0
495,574,Sam_Gallagher_574,4,16,0,0
496,595,Alfie_Jones_595,2,16,0,0
497,351,Hugo_Lloris_351,1,17,380621,55
498,352,Michel_Vorm_352,1,17,5427,50
499,353,Toby_Alderweireld_353,2,17,159975,60
500,354,Danny_Rose_354,2,17,69060,60
501,355,Jan_Vertonghen_355,2,17,414376,60
502,356,Ben_Davies_356,2,17,428966,60
503,357,Kieran_Trippier_357,2,17,1217102,60
504,358,Kyle_Walker-Peters_358,2,17,22811,45
505,359,Davinson_Sánchez_359,2,17,122431,60
506,360,Serge_Aurier_360,2,17,49004,60
507,361,Eric_Dier_361,3,17,109552,50
508,362,Mousa_Dembélé_362,3,17,72326,50
509,363,Erik_Lamela_363,3,17,4017,65
510,364,Christian_Eriksen_364,3,17,840208,95
511,365,Bamidele_Alli_365,3,17,175864,90
512,366,Victor_Wanyama_366,3,17,2567,50
513,367,Heung-Min_Son_367,3,17,374626,85
514,368,Harry_Winks_368,3,17,646,55
515,369,Moussa_Sissoko_369,3,17,2814,50
516,370,Lucas_Rodrigues Moura da Silva_370,3,17,108496,70
517,371,Fernando_Llorente_371,4,17,15635,60
518,372,Harry_Kane_372,4,17,1430959,125
519,497,Georges-Kévin_Nkoudou_497,3,17,997,50
520,523,Luke_Amos_523,3,17,0,45
521,536,Paulo_Gazzaniga_536,1,17,0,0
522,538,Alfie_Whiteman_538,1,17,0,0
523,540,Oliver_Skipp_540,3,17,0,0
524,549,Juan_Foyth_549,2,17,0,0
525,561,Timothy_Eyoma_561,2,17,0,0
526,578,Kazaiah_Sterling_578,4,17,0,0
527,612,George_Marsh_612,3,17,0,0
528,614,Vincent_Janssen_614,4,17,0,0
529,373,Heurelho_Gomes_373,1,18,22758,45
530,374,Pontus_Dahlberg_374,1,18,3773,45
531,375,Younes_Kaboul_375,2,18,10718,45
532,376,Craig_Cathcart_376,2,18,4273,45
533,377,Sebastian_Prödl_377,2,18,9721,45
534,378,José_Holebas_378,2,18,24697,45
