,id,full_names,element_type,team,cost,selected
514,328,Oriol_Romeu Vidal_328,3,16,45,71666
515,337,Kyle_Walker-Peters_337,2,16,50,218430
516,437,Che_Adams_437,4,16,60,75736
517,438,Moussa_Djenepo_438,3,16,55,5892
518,485,Wesley_Hoedt_485,2,16,45,4771
519,508,Sofiane_Boufal_508,3,16,55,3305
520,532,Kevin_Danso_532,2,16,0,0
521,535,Daniel_N'Lundulu_535,4,16,0,0
522,548,Harry_Lewis_548,1,16,0,0
523,584,William_Smallbone_584,3,16,0,0
524,633,Nathan_Tella_633,3,16,0,0
525,645,Jake_Vokins_645,2,16,0,0
526,649,Alexandre_Jankewitz_649,3,16,0,0
527,654,Will_Ferry_654,3,16,0,0
528,663,Jacob_Maddox_663,3,16,0,0
529,329,Ben_Davies_329,2,17,55,9750
530,330,Jan_Vertonghen_330,2,17,55,199716
531,331,Toby_Alderweireld_331,2,17,55,436313
532,333,Davinson_Sánchez_333,2,17,55,63856
533,334,Kieran_Trippier_334,2,17,55,20975
534,335,Juan_Foyth_335,2,17,50,1755
535,336,Serge_Aurier_336,2,17,50,16777
536,338,Harry_Kane_338,4,17,110,1591131
537,339,Vincent_Janssen_339,4,17,45,9875
538,340,Hugo_Lloris_340,1,17,55,514748
539,341,Paulo_Gazzaniga_341,1,17,45,15962
540,342,Heung-Min_Son_342,3,17,95,60979
541,343,Christian_Eriksen_343,3,17,90,370921
542,344,Bamidele_Alli_344,3,17,85,38989
543,345,Lucas_Rodrigues Moura da Silva_345,3,17,75,608669
544,346,Erik_Lamela_346,3,17,60,37710
545,347,Harry_Winks_347,3,17,55,20098
546,348,Victor_Wanyama_348,3,17,50,3818
547,349,Moussa_Sissoko_349,3,17,50,84388
548,350,Eric_Dier_350,3,17,50,10534
549,351,Luke_Amos_351,3,17,45,798
550,352,Oliver_Skipp_352,3,17,45,25018
551,442,Tanguy_Ndombele_442,3,17,60,221033
552,509,Troy_Parrott_509,4,17,45,34251
553,523,Giovani_Lo Celso_523,3,17,75,30815
554,524,Ryan_Sessegnon_524,3,17,55,18354
555,527,Georges-Kévin_Nkoudou_527,3,17,50,0
556,543,Alfie_Whiteman_543,1,17,0,0
557,555,Michel_Vorm_555,1,17,0,0
558,558,Brandon_Austin_558,1,17,0,0
559,583,Japhet_Tanganga_583,2,17,0,0
560,605,Gedson_Carvalho Fernandes_605,3,17,0,0
561,615,Steven_Bergwijn_615,3,17,0,0
562,634,Harvey_White_634,3,17,0,0
563,655,Dennis_Cirkin_655,2,17,0,0
564,353,José_Holebas_353,2,18,50,253744
565,354,Christian_Kabasele_354,2,18,45,13634
566,355,Adam_Masina_355,2,18,45,4687
567,356,Adrian_Mariappa_356,2,18,45,15852
568,357,Francisco_Femenía Far_357,2,18,45,49998
569,358,Craig_Cathcart_358,2,18,45,261010
570,359,Daryl_Janmaat_359,2,18,45,35136
571,360,Marc_Navarro_360,2,18,40,8515
572,361,Sebastian_Prödl_361,2,18,40,100621
573,362,Troy_Deeney_362,4,18,65,174949
574,363,Gerard_Deulofeu_363,4,18,65,337999
575,364,Andre_Gray_364,4,18,60,46334
576,365,Isaac_Success Ajayi_365,4,18,50,47746
577,366,Ben_Foster_366,1,18,50,168877
578,367,Pontus_Dahlberg_367,1,18,45,9535
579,368,Abdoulaye_Doucouré_368,3,18,60,200815
580,369,Roberto_Pereyra_369,3,18,60,246209
581,370,Will_Hughes_370,3,18,55,13737
582,371,Tom_Cleverley_371,3,18,50,7519
583,372,Ken_Sema_372,3,18,50,2976
584,373,Etienne_Capoue_373,3,18,50,57796
585,374,Nathaniel_Chalobah_374,3,18,45,15914
586,375,Domingos_Quina_375,3,18,45,6262
587,439,Craig_Dawson_439,2,18,50,16860
588,512,Danny_Welbeck_512,4,18,60,8949
589,513,Heurelho da Silva_Gomes_513,1,18,45,10411
590,525,Ismaïla_Sarr_525,3,18,65,22066
591,542,Dimitri_Foulquier_542,2,18,0,0
592,563,Ayotomiwa_Dele-Bashiru_563,3,18,0,0
593,592,João Pedro_Junqueira de Jesus_592,4,18,0,0
594,604,Ignacio_Pussetto_604,3,18,0,0
595,648,Adalberto_Peñaranda_648,4,18,0,0
596,376,Aaron_Cresswell_376,2,19,50,23399
597,377,Angelo_Ogbonna_377,2,19,45,19136
598,378,Arthur_Masuaku_378,2,19,45,23599
599,379,Pablo_Zabaleta_379,2,19,45,45630
600,380,Ryan_Fredericks_380,2,19,45,19613
